#mu          density      sigma1_xx       sigma2_xx       sigma1_xy       sigma2_xy       alpha1_xx       alpha2_xx       alpha1_xy       alpha2_xy       beta1_xx        beta2_xx        beta1_xy        beta2_xy
 0.00000000 -0.05860286   2.39147286e-01  1.55407692e-04 -9.88999274e-01  7.91671723e-06  1.21917018e-02 -1.36904647e-05 -4.56648122e-02 -1.28399177e-06  6.31821724e-01  4.15076036e-04 -2.61127534e+00  2.15933144e-05 
 0.10000000 -0.07081172   2.84930573e-01  1.13577261e-04 -1.15589572e+00  4.46894559e-06  1.20005376e-02 -8.92792816e-06 -4.24952733e-02 -6.40845029e-07  7.52788862e-01  3.02678428e-04 -3.05213828e+00  1.21059977e-05 
 0.20000000 -0.08321513   3.29950505e-01  8.56651887e-05 -1.31037027e+00  2.68238542e-06  1.17887208e-02 -6.09432123e-06 -3.91020789e-02 -3.45330387e-07  8.71740507e-01  2.27936691e-04 -3.46018441e+00  7.23156783e-06 
 0.30000000 -0.09582943   3.74131943e-01  6.62617404e-05 -1.45159869e+00  1.69053686e-06  1.15574782e-02 -4.31385299e-06 -3.54970188e-02 -1.97753478e-07  9.88476748e-01  1.76105933e-04 -3.83323599e+00  4.54170970e-06 
 0.40000000 -0.10867279   4.17401796e-01  5.23220230e-05 -1.57880193e+00  1.10860941e-06  1.13069205e-02 -3.14512138e-06 -3.16920694e-02 -1.18978373e-07  1.10280403e+00  1.38937093e-04 -4.16923430e+00  2.97053158e-06 
 0.50000000 -0.12176508   4.59686604e-01  4.20332159e-05 -1.69124536e+00  7.51376280e-07  1.10368230e-02 -2.34997323e-06 -2.76985036e-02 -7.45741074e-08  1.21452811e+00  1.11540613e-04 -4.46623713e+00  2.00925335e-06 
 0.60000000 -0.13512816   5.00911838e-01  3.42654821e-05 -1.78823411e+00  5.23636048e-07  1.07468673e-02 -1.79258762e-06 -2.35258907e-02 -4.83815660e-08  1.32345202e+00  9.08791729e-05 -4.72240676e+00  1.39802296e-06 
 0.70000000 -0.14878667   5.41001705e-01  2.82873590e-05 -1.86910485e+00  3.73726425e-07  1.04367098e-02 -1.39185585e-06 -1.91811426e-02 -3.23264509e-08  1.42937546e+00  7.49914117e-05 -4.93598814e+00  9.96511609e-07 
 0.80000000 -0.16276744   5.79879078e-01  2.36098474e-05 -1.93321397e+00  2.72299174e-07  1.01059890e-02 -1.09742492e-06 -1.46675760e-02 -2.21557625e-08  1.53209461e+00  6.25687494e-05 -5.10527760e+00  7.25305269e-07 
 0.90000000 -0.17710066   6.17465416e-01  1.98969388e-05 -1.97992209e+00  2.02017373e-07  9.75431412e-03 -8.76980901e-07 -9.98390488e-03 -1.55261939e-08  1.63140189e+00  5.27134639e-05 -5.22858194e+00  5.37634770e-07 
 1.00000000 -0.19182108   6.53680616e-01  1.69121989e-05 -2.00857449e+00  1.52287492e-07  9.38124897e-03 -7.09183047e-07 -5.12303226e-03 -1.10954788e-08  1.72708560e+00  4.47946955e-05 -5.30416638e+00  4.04993310e-07 
 1.10000000 -0.20696670   6.88442824e-01  1.44857677e-05 -2.01847624e+00  1.16442591e-07  8.98630230e-03 -5.79580133e-07 -7.04540336e-05 -8.06824623e-09  1.81892939e+00  3.83597114e-05 -5.33018869e+00  3.09477156e-07 
 1.20000000 -0.22258289   7.21668220e-01  1.24933588e-05 -2.00886027e+00  9.01763772e-08  8.56893044e-03 -4.78168029e-07  5.19801126e-03 -5.95891894e-09  1.90671174e+00  3.30775474e-05 -5.30461389e+00  2.39541763e-07 
 1.30000000 -0.23872225   7.53270866e-01  1.08425410e-05 -1.97884476e+00  7.06423932e-08  8.12856427e-03 -3.97884263e-07  1.07196319e-02 -4.46309957e-09  1.99020556e+00  2.87022544e-05 -5.22510093e+00  1.87567205e-07 
 1.40000000 -0.25544527   7.83162715e-01  9.46356526e-06 -1.92737446e+00  5.59199022e-08  7.66468040e-03 -3.33655044e-07  1.65501209e-02 -3.38540338e-09  2.06917825e+00  2.50483602e-05 -5.08884565e+00  1.48418031e-07 
 1.50000000 -0.27282827   8.11254044e-01  8.30310542e-06 -1.85313593e+00  4.46885459e-08  7.17695866e-03 -2.81777482e-07  2.27724450e-02 -2.59772472e-09  2.14339296e+00  2.19741417e-05 -4.89235352e+00  1.18567744e-07 
 1.60000000 -0.29096114   8.37454760e-01  7.31990472e-06 -1.75442872e+00  3.60253125e-08  6.66561804e-03 -2.39510466e-07  2.95120925e-02 -2.01444146e-09  2.21261219e+00  1.93700062e-05 -4.63109310e+00  9.55533664e-08 
 1.70000000 -0.30996158   8.61677612e-01  6.48169824e-06 -1.62895784e+00  2.92750365e-08  6.13214890e-03 -2.04798463e-07  3.69653369e-02 -1.57731915e-09  2.27660670e+00  1.71502825e-05 -4.29893437e+00  7.76280398e-08 
 1.80000000 -0.32998169   8.83845662e-01  5.76300333e-06 -1.47347358e+00  2.39661455e-08  5.58100415e-03 -1.76081757e-07  4.54563732e-02 -1.24611512e-09  2.33517633e+00  1.52473335e-05 -3.88716638e+00  6.35353000e-08 
 1.90000000 -0.35123141   9.03910062e-01  5.14351121e-06 -1.28308329e+00  1.97548468e-08  5.02388307e-03 -1.52163986e-07  5.55679179e-02 -9.92611242e-10  2.38819994e+00  1.36072724e-05 -3.38259478e+00  5.23597077e-08 
 2.00000000 -0.37402559   9.21895767e-01  4.60690119e-06 -1.04974063e+00  1.63875368e-08  4.49206773e-03 -1.32118322e-07  6.84993909e-02 -7.96753689e-10  2.43576610e+00  1.21868068e-05 -2.76326335e+00  4.34263469e-08 
